Location,Lea James Hot Chicken,,,,Date & Time,06/26/2025 11:47,
Prep Recipe Name,Roux recipe,,,,,,
,,,,,,,
Type,Portion,Portion Size,Batch Size,Shelf Life,PrepRecipe Yield,Prep Time,Cook Time
Sauces,,1 ea,4 lb,1 Weeks,100%, mins,40 mins
,,,,,,,
Food Cost,Labor Cost,Prime Cost,Unit Cost,,,,
$11.2002,$0.00,$11.2002,$2.80005/ea,,,,
,,,,,,,
Ingredient,Type,Measurement,Yield,Usable Yield,Cost,,
"Dairy,  Clarified Butter",Product,2 lb,100%,100%,$10.417,,
"Dry Goods, Flour, All Purpose, White",Product,2 lb,100%,100%,$0.7832,,
